endTime,artistName,trackName,msPlayed
35,Olivia Rodrigo,"The Rose Song - From ""High School Musical: The Musical: The Series (Season 2)""",174380
35,Aria Rayes,The Girl You Call Best Friend,162474
35,Brynn Cartelli,Love You in My Mind,224904
35,Taylor Swift,cardigan - cabin in candlelight version,228000
35,Lana Del Rey,Summertime Sadness,132158
35,Victorious Cast,You Don't Know Me,173350
35,Victorious Cast,You Don't Know Me,421
35,Olivia Rodrigo,brutal,143746
35,Taylor Swift,Blank Space,231826
35,Olivia Rodrigo,"jealousy, jealousy",173160
35,Olivia Rodrigo,drivers license,242013
35,Olivia Rodrigo,deja vu,1130
35,Taylor Swift,Love Story (Taylor’s Version),235766
35,Brynn Cartelli,Jane,123097
35,Brynn Cartelli,Jane,146176
35,Olivia Rodrigo,"The Rose Song - From ""High School Musical: The Musical: The Series (Season 2)""",174380
35,Taylor Swift,mirrorball,208977
35,Caroline Manning,both ways,120099
35,Caroline Manning,both ways,112545
35,Olivia Rodrigo,traitor,229226
35,Taylor Swift,this is me trying,195106
35,Lee Brice,One Of Them Girls,188893
35,Dan Berk,Hallelujah - Acoustic,267000
35,Taylor Swift,exile (feat. Bon Iver),285634
35,Billie Eilish,NDA,195776
35,Taylor Swift,cardigan - cabin in candlelight version,228000
35,Brynn Cartelli,Love You in My Mind,224904
35,Faouzia,Tears of Gold,176117
35,Sara Bareilles,She Used To Be Mine,725
35,Joan Jett & The Blackhearts,Bad Reputation,169186
35,Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock),206186
35,Arizona Zervas,ROXANNE,163636
35,Anson Seabra,Welcome to Wonderland,100827
35,Anson Seabra,Welcome to Wonderland,98551
35,Nicki Minaj,Good Form,199400
35,Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),186826
35,Fall Out Boy,Immortals,189386
35,Rihanna,S&M,243600
35,Taylor Swift,Getaway Car,233626
35,Todrick Hall,Attention,176247
35,Bon Jovi,It's My Life,224493
35,Ariana Grande,Into You,244453
35,Panic! At The Disco,High Hopes,190946
35,Jessi,Gucci,175498
35,Panic! At The Disco,Emperor's New Clothes,158666
35,Usher,I Don't Mind (feat. Juicy J),251989
35,Panic! At The Disco,"Hey Look Ma, I Made It",169666
35,Aria Rayes,The Girl You Call Best Friend,162474
35,5 Seconds of Summer,Good Girls,206423
35,Todrick Hall,Cake Pop,152920
35,Lana Del Rey,hope is a dangerous thing for a woman like me to have - but I have it,324498
35,Bella Poarch,Build a Bitch,122772
35,Billie Eilish,bury a friend,193143
35,Victorious Cast,You Don't Know Me,173760
35,Billie Eilish,Happier Than Ever,298899
35,Taylor Swift,Look What You Made Me Do,211853
35,Lana Del Rey,Old Money,271480
35,EMELINE,flowers & sex,5205
35,Yoolee,I Promise You (Freaking Romance Original Soundtrack),1024
35,Billie Eilish,NDA,195776
35,Adam Lambert,If I Had You,228240
35,Taylor Swift,I Did Something Bad,238253
35,Billie Eilish,Therefore I Am,174321
35,HUGEL,WTF (feat. Amber Van Day),160686
35,Lizzo,Good as Hell,159735
35,Dua Lipa,New Rules,209320
35,Billie Eilish,bad guy,194087
35,Lana Del Rey,Dark Paradise,243187
35,Billie Eilish,my strange addiction,179889
35,Panic! At The Disco,Victorious,178600
35,Billie Eilish,when the party's over,196077
35,Fall Out Boy,Centuries,228360
35,Nicki Minaj,Rich Sex (feat. Lil Wayne),192600
35,Alicia Keys,Girl On Fire (feat. Nicki Minaj) - Inferno Version,270720
35,Roddy Ricch,The Box,196652
36,Taylor Swift,Love Story (Taylor’s Version),235766
36,Taylor Swift,mirrorball,208977
36,Billie Eilish,Happier Than Ever,298899
36,Dan Berk,Hallelujah - Acoustic,267000
36,Taylor Swift,Blank Space,231826
36,Billie Eilish,NDA,195776
36,Brynn Cartelli,Jane,269028
36,Olivia Rodrigo,"jealousy, jealousy",173160
36,Caroline Manning,both ways,232620
36,Sara Bareilles,She Used To Be Mine,250266
36,Aria Rayes,The Girl You Call Best Friend,162474
36,Taylor Swift,exile (feat. Bon Iver),285634
36,Dua Lipa,New Rules,189120
36,Taylor Swift,Lover (Remix) [feat. Shawn Mendes],221306
36,Claire Rosinkranz,Hotel,2453
36,Sarah Cothran,Love Story,5440
36,Olivia Rodrigo,"The Rose Song - From ""High School Musical: The Musical: The Series (Season 2)""",174380
36,Billie Eilish,NDA,195776
36,Olivia Rodrigo,brutal,126976
36,Olivia Rodrigo,brutal,170
36,Dua Lipa,New Rules,5888
36,Billie Eilish,my strange addiction,179889
36,Brynn Cartelli,Love You in My Mind,224904
36,Jordan Clarke,Freaks,7957
36,Olivia Rodrigo,drivers license,242013
36,Lee Brice,One Of Them Girls,188893
36,Olivia Rodrigo,"jealousy, jealousy",173160
36,Sara Bareilles,She Used To Be Mine,12755
36,BANNERS,Someone To You,7722
36,Lee Brice,One Of Them Girls,188893
36,Olivia Rodrigo,brutal,143746
36,Brynn Cartelli,Love You in My Mind,224904
36,Billie Eilish,NDA,195776
36,Caroline Manning,both ways,232620
36,Taylor Swift,Blank Space,231826
36,Brynn Cartelli,Jane,269028
36,Aria Rayes,The Girl You Call Best Friend,162474
36,Dan Berk,Hallelujah - Acoustic,229440
36,Dan Berk,Hallelujah - Acoustic,37555
36,Billie Eilish,Happier Than Ever,298899
36,Taylor Swift,mirrorball,208977
36,Taylor Swift,Love Story (Taylor’s Version),235766
36,Sara Bareilles,She Used To Be Mine,1237
36,Taylor Swift,exile (feat. Bon Iver),285634
36,Victorious Cast,You Don't Know Me,173760
36,Lennon Stella,Older Than I Am,181533
36,Taylor Swift,this is me trying,195106
36,Olivia Rodrigo,"The Rose Song - From ""High School Musical: The Musical: The Series (Season 2)""",174380
36,Olivia Rodrigo,traitor,229226
36,Olivia Rodrigo,drivers license,242013
36,Olivia Rodrigo,deja vu,195566
36,Olivia Rodrigo,deja vu,20208
36,Sara Bareilles,She Used To Be Mine,237765
36,Olivia Rodrigo,brutal,143746
36,Sarah Cothran,As the World Caves In,161612
36,Arizona Zervas,ROXANNE,1898
36,Ariana Grande,Into You,244453
36,Todrick Hall,Attention,2026
36,Zara Larsson,Ain't My Fault (feat. Lil Yachty) - Remix,152091
36,Fall Out Boy,Immortals,189386
36,Taylor Swift,I Did Something Bad,238253
36,Lana Del Rey,Summertime Sadness,79712
36,Taylor Swift,Getaway Car,233626
36,Ariana Grande,Into You,244453
36,Usher,I Don't Mind (feat. Juicy J),251989
36,Billie Eilish,when the party's over,196077
36,EMELINE,flowers & sex,64221
36,Madison Beer,Dear Society,448
36,Billie Eilish,bury a friend,193143
36,Alicia Keys,Girl On Fire (feat. Nicki Minaj) - Inferno Version,270720
36,Panic! At The Disco,Victorious,178600
36,Fall Out Boy,Centuries,181077
36,Anson Seabra,Welcome to Wonderland,5952
36,Olivia Rodrigo,favorite crime,152666
36,Billie Eilish,my strange addiction,179889
36,Q.Z.B,Give Me Everything,39971
36,Dan Berk,Hallelujah - Acoustic,267000
36,Taylor Swift,gold rush,185320
36,Olivia Rodrigo,brutal,143746
36,Lana Del Rey,Million Dollar Man,230120
36,Lennon Stella,Older Than I Am,181533
36,Billie Eilish,NDA,81429
36,Victorious Cast,You Don't Know Me,173760
36,Kesha,Cannibal,194253
36,Bea Miller,i can't breathe,213986
36,Olivia Rodrigo,favorite crime,152666
36,Kesha,Cannibal,82197
36,Kesha,Cannibal,112313
36,Jordan Suaste,Body,25920
36,Beth McCarthy,She Gets the Flowers,219881
36,Taylor Swift,epiphany,289749
36,BLACKSTARKIDS,TOO DEPRESSED 4 SEX,44480
36,Billie Eilish,NDA,195776
36,Little Mix,Good Enough,33488
36,Iggy Azalea,Black Widow,209423
36,Billie Eilish,NDA,195776
36,Taylor Swift,exile (feat. Bon Iver),11925
36,Little Mix,Good Enough,37067
36,Taylor Swift,epiphany,289749
36,Taylor Swift,epiphany,289749
36,BLACKSTARKIDS,TOO DEPRESSED 4 SEX,5888
36,Harry Styles,Falling,240133
36,Faouzia,Tears of Gold,176117
36,Iggy Azalea,Black Widow,209423
36,Billie Eilish,NDA,195776
36,Little Mix,Good Enough,232240
36,Taylor Swift,evermore (feat. Bon Iver),70606
36,Taylor Swift,epiphany,289749
36,BLACKSTARKIDS,TOO DEPRESSED 4 SEX,112276
36,Taylor Swift,mirrorball,208977
36,Taylor Swift,this is me trying,195106
36,Billie Eilish,my strange addiction,179889
36,Olivia Rodrigo,deja vu,215506
36,Billie Eilish,NDA,114360
36,Olivia Rodrigo,traitor,228074
36,Taylor Swift,Blank Space,231826
36,Brynn Cartelli,Jane,269028
36,Olivia Rodrigo,"jealousy, jealousy",173160
36,Olivia Rodrigo,brutal,143746
36,Taylor Swift,this is me trying,195106
36,Olivia Rodrigo,deja vu,215506
36,Lee Brice,One Of Them Girls,188893
36,Dan Berk,Hallelujah - Acoustic,267000
36,Taylor Swift,Love Story (Taylor’s Version),235766
36,Taylor Swift,exile (feat. Bon Iver),285634
36,Aria Rayes,The Girl You Call Best Friend,162474
36,Billie Eilish,NDA,195776
36,Olivia Rodrigo,"The Rose Song - From ""High School Musical: The Musical: The Series (Season 2)""",174380
36,Olivia Rodrigo,traitor,229226
36,Taylor Swift,mirrorball,208977
36,Faouzia,Tears of Gold,5354
36,Sara Bareilles,She Used To Be Mine,250266
36,Billie Eilish,Happier Than Ever,298899
36,Brynn Cartelli,Love You in My Mind,224904
36,Lennon Stella,Older Than I Am,181533
36,Victorious Cast,You Don't Know Me,1280
36,Taylor Swift,Getaway Car,233626
36,Olivia Rodrigo,brutal,11434
36,Sawyer,Emotional Girls,180283
36,Olivia Rodrigo,drivers license,242013
36,Caroline Manning,both ways,232620
36,Victorious Cast,You Don't Know Me,90624
36,Lennon Stella,Older Than I Am,181533
36,Billie Eilish,Therefore I Am,154021
36,Taylor Swift,marjorie,336372
36,Brynn Cartelli,Jane,269028
36,Olivia Rodrigo,deja vu,7850
36,Taylor Swift,Blank Space,231826
36,Caroline Manning,both ways,14783
36,Billie Eilish,NDA,195776
36,Taylor Swift,Blank Space,231826
36,Olivia Rodrigo,"jealousy, jealousy",981
36,Olivia Rodrigo,brutal,143746
36,Taylor Swift,this is me trying,195106
36,Olivia Rodrigo,deja vu,215506
36,Lee Brice,One Of Them Girls,188893
36,Olivia Rodrigo,drivers license,242013
36,Taylor Swift,Love Story (Taylor’s Version),235766
36,Taylor Swift,exile (feat. Bon Iver),285634
36,Aria Rayes,The Girl You Call Best Friend,162474
36,Olivia Rodrigo,"The Rose Song - From ""High School Musical: The Musical: The Series (Season 2)""",174380
36,Olivia Rodrigo,drivers license,242013
36,Olivia Rodrigo,traitor,229226
36,Taylor Swift,mirrorball,208977
36,Faouzia,Tears of Gold,176117
36,Sara Bareilles,She Used To Be Mine,250266
36,Billie Eilish,Happier Than Ever,298899
36,Brynn Cartelli,Love You in My Mind,224904
36,Olivia Rodrigo,happier,175933
36,BANNERS,Someone To You,219801
36,Dan Berk,Hallelujah - Acoustic,267000
36,Drew Seeley,Just That Girl,173141
36,Calum Scott,"You Are The Reason - Acoustic, 1 Mic 1 Take/Live From Abbey Road Studios",4586
36,Barry Hudson-Taylor,Solitude,202822
36,North [Sic],EBERTPLATZ STATION,81152
36,North [Sic],REEPERBAHN,133747
36,Dalal,Snow Prelude No. 3,109779
36,Jonas Gewald,Saying Nothing,148619
36,Pink Swan,First Day,82360
36,Ron Adelaar,Echoes Of Life,137397
36,Sacha Hoedemaker,Remembrance,168515
36,Yann Tiersen,Le Matin,118560
36,15.,While/Asleep,195428
36,Alstad,That Morning on the Beach,187500
36,Johann Sebastian Bach,"Bach, JS: Goldberg Variations, BWV 988: Aria da capo",163972
36,YARA,Skyer,165860
36,Philip Jerne,Aura,52074
36,RIOPY,Lullaby,206760
36,Adrian Kuipers,New Life,240697
36,vision string quartet,Fjordeby,45515
36,Felix Mendelssohn,"Andante con moto in E Major, Op. 19 No. 1",9258
36,Yehuda Hanani (Michele Levin),Serenade - Schubert,12608
36,Victorious Cast,You Don't Know Me,173760
36,Lennon Stella,Older Than I Am,181533
36,Taylor Swift,this is me trying,195106
36,Olivia Rodrigo,"The Rose Song - From ""High School Musical: The Musical: The Series (Season 2)""",174380
36,Alicia Keys,Love Looks Better,24633
36,Yoolee,I Promise You (Freaking Romance Original Soundtrack),68863
36,Liz Callaway,Moon River,26902
36,I TRAVEL LIGHT,Vézelay,2453
36,Ingrid Andress,Life of the Party,176053
36,Sarah Cothran,As the World Caves In,161612
36,5 Seconds of Summer,Amnesia,237247
36,Sara Kays,Smaller Than This,208655
36,5 Seconds of Summer,She Looks So Perfect - Acoustic,202967
36,Jessie J,"Flashlight - From ""Pitch Perfect 2"" Soundtrack",3434
36,Anson Seabra,Welcome to Wonderland,199131
36,Loren Allred,Never Enough (Reprise),80293
36,Camila Cabello,Consequences - orchestra,6037
36,Lea Salonga,"I Dreamed a Dream (From ""Les misérables"") [Live]",3584
36,FINNEAS,I Lost a Friend,237020
36,Cole Swindell,Break Up in the End,199693
36,Maddie & Tae,Die From A Broken Heart,45721
36,Demi Lovato,Father,3904
36,Little Mix,Good Enough,232240
36,P!nk,Glitter In the Air,227813
36,Lady A,Hurt,226906
36,Daniel Shaw,Beneath Your Beautiful - The Voice Australia 2019 Performance / Live,106348
36,LANY,if this is the last time,203853
36,Sara Bareilles,She Used To Be Mine,234
36,Little Big Town,The Daughters,130649
36,Jennifer Smestad,Half the Man,202626
36,PUBLIC,Make You Mine,232906
36,Bea Miller,feel something,180161
36,Chris Young,Tomorrow,220173
36,Madilyn Bailey,Million Reasons,204230
36,Little Big Town,The Daughters,82112
37,FINNEAS,Break My Heart Again,1450
37,Chandler Leighton,Would You?,237286
37,Todrick Hall,Cake Pop,15445
37,Dan Berk,Hallelujah - Acoustic,267000
37,Ariana Grande,"thank u, next",207320
37,Panic! At The Disco,Victorious,178600
37,mxmtoon,prom dress,197933
37,Dan Berk,Hallelujah - Acoustic,255082
37,Chandler Leighton,Would You?,237286
37,Billie Eilish,Happier Than Ever,298899
37,Caroline Manning,both ways,232620
37,Brynn Cartelli,Love You in My Mind,224904
37,Taylor Swift,epiphany,289746
37,Victorious Cast,You Don't Know Me,1088
37,Taylor Swift,this is me trying,195106
37,Olivia Rodrigo,deja vu,215506
37,Taylor Swift,exile (feat. Bon Iver),285634
37,Olivia Rodrigo,deja vu,661
37,Taylor Swift,betty,294521
37,Lana Del Rey,Million Dollar Man,230120
37,Olivia Rodrigo,"jealousy, jealousy",173160
37,Lennon Stella,Older Than I Am,181533
37,Matt Bloyd,I'll Never Love Again,294555
37,FINNEAS,I Lost a Friend,237020
37,Panic! At The Disco,Emperor's New Clothes,158666
37,Isabel Pless,Burn Out,193143
37,Beth McCarthy,She Gets the Flowers,219881
37,HUGEL,WTF (feat. Amber Van Day),160686
37,Bahjat,Hometown Smile,172639
37,Victorious Cast,You Don't Know Me,39918
37,Brynn Cartelli,Jane,269028
37,Olivia Rodrigo,enough for you,202826
37,Ariana Grande,no tears left to cry,205920
37,Justin Bieber,Baby,11178
37,Olivia Rodrigo,drivers license,242013
37,Aria Rayes,The Girl You Call Best Friend,162474
37,Taylor Swift,Love Story (Taylor’s Version),235766
37,Caroline Manning,both ways,232620
37,Billie Eilish,Happier Than Ever,298899
37,Taylor Swift,this is me trying,195106
