endTime,artistName,trackName,msPlayed
26,Aminé,SHINE,150000
26,Dijon,Nico's Red Truck,248853
26,Kendrick Lamar,Money Trees,386906
26,Anderson .Paak,Heart Don't Stand a Chance,312360
26,Louis The Child,Little Things (with Quinn XCII & Chelsea Cutler),197453
26,Mac Miller,Hand Me Downs,298440
26,Flume,Rushing Back,231663
26,Baby Keem,ORANGE SODA,129882
26,SZA,Good Days,279204
26,Briston Maroney,Freakin' Out On the Interstate,251906
26,Frank Ocean,Moon River,188323
26,Mac Miller,Fight the Feeling,281604
26,Tai Verdes,Stuck In The Middle,196133
26,Mac Miller,Self Care,345133
26,Frank Ocean,Cayendo (Side A - Acoustic),202200
26,Logic,OCD (with Dwn2earth),291706
26,J. Cole,Snow On Tha Bluff,235480
26,Mac Miller,Senior Skip Day,175782
26,A$AP Rocky,L$D,238306
26,BROCKHAMPTON,BLEACH,273151
26,Frank Ocean,Ivy,249191
26,Kid Cudi,The Adventures of Moon Man & Slim Shady (with Eminem),264833
26,The Weeknd,Heartless,198266
26,Mac Miller,2009,347986
26,Russ,NIGHTTIME (Interlude),189866
26,BROCKHAMPTON,SUGAR,144565
26,Frank Ocean,DHL,73429
26,Frank Ocean,DHL,195453
26,Larry Lovestein & The Velvet Revival,You,22542
26,Kota the Friend,Long Beach,252778
26,Mac Miller,Right,287871
26,Frank Ocean,In My Room,133680
26,Vince Staples,"Yo Love - From ""Queen & Slim: The Soundtrack""",143830
26,Kid Cudi,Leader Of The Delinquents,189544
26,"Tyler, The Creator",EARFQUAKE,190066
26,Earl Sweatshirt,Riot!,66133
26,88-Keys,That's Life (feat. Mac Miller & Sia),202390
26,A$AP Rocky,Kids Turned Out Fine,136872
26,Frank Ocean,Biking,31168
26,ODIE,Little Lies,4373
26,Mac Miller,The Spins,195873
26,Mac Miller,Kool Aid & Frozen Pizza,157540
26,Mac Miller,Right,287871
26,Mac Miller,Good News,342040
26,Free Nationals,Time,3155
26,Gotye,Somebody That I Used To Know,58325
26,Gotye,Somebody That I Used To Know,9685
26,Katy Perry,Teenage Dream,227741
26,Katy Perry,Firework,190210
26,The Killers,Mr. Brightside,222973
26,La Roux,Bulletproof,13509
26,La Roux,Bulletproof,192084
26,Plain White T's,Hey There Delilah - Bonus Track,233280
26,Kid Cudi,Day 'N' Nite (nightmare),221266
26,Fetty Wap,My Way (feat. Monty),213053
26,Zac Brown Band,Chicken Fried,238146
26,Justin Bieber,Boyfriend,13060
26,Katy Perry,California Gurls,234653
26,Chris Brown,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),42724
26,LMFAO,Party Rock Anthem,262173
26,Rihanna,Don't Stop The Music,267080
26,Avicii,Hey Brother,255093
26,Iggy Azalea,Black Widow,209423
26,Miley Cyrus,Party In The U.S.A.,202066
26,Chris Brown,Yeah 3x,241666
26,Britney Spears,Toxic,106503
26,Sia,Chandelier,216120
26,ScHoolboy Q,Studio,278066
26,Lukas Graham,7 Years,237300
26,Mr. Probz,Waves - Robin Schulz Radio Edit,208133
26,Ed Sheeran,Thinking out Loud,281560
26,will.i.am,Scream & Shout,283400
26,MAGIC!,Rude,224840
26,CeeLo Green,Forget You,222733
26,David Guetta,Without You (feat. Usher),208133
26,Zedd,Clarity,271426
26,Justin Timberlake,Rock Your Body,267266
26,Zedd,I Want You To Know,240000
26,Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),235613
26,Rihanna,Diamonds,225146
26,Fergie,L.A.LOVE (la la) [feat. YG],211512
26,Soulja Boy,Crank That (Soulja Boy),221933
26,Usher,OMG (feat. will.i.am),269493
26,Tove Lo,Habits (Stay High),209160
26,T.I.,Live Your Life,338853
26,Jack Johnson,Upside Down,208653
26,Coldplay,A Sky Full of Stars,267866
26,Grouplove,Tongue Tied,218013
26,Flo Rida,Whistle,224653
26,Nico & Vinz,In Your Arms,205800
26,Far East Movement,Rocketeer,211253
26,One Direction,Live While We're Young,200213
26,Travie McCoy,Billionaire (feat. Bruno Mars),209720
26,Outkast,Ms. Jackson,270506
26,Lupe Fiasco,The Show Goes On,239613
26,Fort Minor,Remember the Name (feat. Styles of Beyond),230493
26,Taio Cruz,Break Your Heart,75939
26,Taio Cruz,Break Your Heart,77397
26,Milky Chance,Stolen Dance,313684
26,Sean Kingston,Beautiful Girls,212493
27,Sean Kingston,Beautiful Girls,12870
27,Eminem,Not Afraid,248133
27,Black Eyed Peas,Just Can’t Get Enough,219426
27,Ellie Goulding,Lights - Single Version,211800
27,Foster The People,Pumped Up Kicks,239600
27,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),952
27,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),1950
27,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),5131
27,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),5060
27,Bruno Mars,Grenade,223253
27,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),253925
27,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),12580
27,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),13351
27,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),21594
27,The Wanted,Glad You Came,198186
27,Fall Out Boy,Centuries,2670
27,Trey Songz,Na Na,5479
27,The Weeknd,The Hills,12940
27,JAY-Z,Holy Grail,3134
27,B.o.B,Magic (feat. Rivers Cuomo),196133
27,Hot Chelle Rae,Tonight Tonight,200466
27,Calvin Harris,Feel So Close - Radio Edit,206413
27,Bridgit Mendler,Ready or Not,200946
27,One Direction,Story of My Life,245493
27,Kesha,TiK ToK,199693
27,The Goo Goo Dolls,Iris,289533
27,Jason Derulo,Talk Dirty (feat. 2 Chainz),6916
27,Calvin Harris,Summer,222533
27,Cobra Starship,You Make Me Feel... (feat. Sabi),215693
27,Maroon 5,Daylight,225306
27,MGMT,Kids,302840
27,Eminem,Stan,445203
27,Tyler James Williams,Don't Run Away,8120
27,Charli XCX,Boom Clap,169866
27,Empire of the Sun,Walking On A Dream,394830
27,MGMT,Kids,302840
27,Fitz and The Tantrums,Out of My League,209386
27,Empire of the Sun,Alive,26962
27,Grouplove,Tongue Tied,0
27,Empire of the Sun,Alive,162
27,Empire of the Sun,Alive,139
27,Empire of the Sun,Alive,185
27,Empire of the Sun,Alive,116
27,Empire of the Sun,Alive,255
27,Empire of the Sun,Alive,417
27,Empire of the Sun,Alive,580
27,Empire of the Sun,Alive,212694
27,Empire of the Sun,Alive,8532
27,Empire of the Sun,Alive,162
27,Empire of the Sun,Alive,10612
27,Grouplove,Tongue Tied,218013
27,M83,Midnight City,241440
